yr_2007,cartodb_id,name,country_or,yr_2000,yr_2001,yr_2002,yr_2003,yr_2004,yr_2005,yr_2006,yr_2008,yr_2009,yr_2010,yr_2011,yr_2012,yr_2013,yr_2014,yr_2015,yr_2016,yr_2017
373326,106,Latvia,Latvia,607,801,3278,3377,455156,421191,394539,366211,345140,327802,313224,281528,268097,276,277,270,270
4505,107,Morocco,Morocco,574,636,1568,1557,1585,3387,5299,4067,2896,3130,3465,4193,4198,5025,7399,9473,9953
,108,Monaco,Monaco,1,,2,2,1,3,5,,1,2,4,4,4,9,5,4,
7490,109,Moldova,Rep. of Moldova,11608,6887,12652,12127,12560,14170,14663,8250,8678,8864,8797,8591,5114,3735,5721,6411,5750
289,110,Madagascar,Madagascar,70,51,70,121,153,222,285,294,306,292,308,335,470,496,464,355,356
19,111,Maldives,Maldives,7,4,4,4,9,17,20,17,16,22,23,56,57,45,70,96,85
20338,112,Mexico,Mexico,14356,24067,32543,28113,20580,14927,15121,23605,26848,16789,12816,12047,21670,40020,57586,74654,96733
,113,Marshall Islands,Marshall Islands,,,1,,,,,,,,,2,8,9,9,3,7
9724,114,Macedonia,The former Yugoslav Republic of Macedonia,2680,175559,33970,16115,12289,11506,10479,9656,10712,12313,11103,13187,9145,9752,16395,8636,5677
5130,115,Mali,Mali,4059,4179,4348,4193,4178,4373,4524,2508,3692,4066,4699,379764,470736,427336,283684,248593,232239
10,116,Malta,Malta,20,10,12,16,7,7,32,9,9,7,6,6,6,6,5,1,
1001200,117,Myanmar,Myanmar,139472,147271,151297,170032,172734,442597,957142,997612,1220120,1297343,1586013,1679479,1737188,907264,989220,922963,1551716
17148,118,Montenegro,Montenegro,,,,,,,16654,2964,4257,4731,8318,7812,4477,1899,3664,1848,1467
3137,119,Mongolia,Mongolia,625,911,1318,1024,1004,1877,3301,3761,4153,3786,3728,3282,3340,4641,5734,6103,6395
907,120,Mozambique,Mozambique,36,67,189,279,418,475,246,890,145,155,517,1030,1492,1469,2260,26645,33976
34125,121,Mauritania,Mauritania,31540,32430,33116,33408,33698,33955,35240,53421,52067,39888,41888,43015,38113,41142,42149,43663,44035
95,122,Mauritius,Mauritius,46,56,68,82,36,45,102,49,40,71,148,180,206,259,312,314,353
8287,123,Malawi,Malawi,40,42,199,1511,3030,3950,159,8316,176,240,3190,4825,4604,4258,6106,4179,3576
40732,124,Malaysia,Malaysia,325,394,603,567,468,576,715,40747,40682,40681,40680,40706,40768,1425,3272,6621,9999
